date,business_id,revenue_booked,cash_collected,receivables_outstanding,revenue_7d_avg,revenue_30d_avg,revenue_7d_std,revenue_30d_std,collections_7d_avg,collections_30d_avg,collection_ratio_30d,receivables_change_7d,receivables_change_30d,receivables_to_revenue_30d,day_of_week,month,is_weekend
2018-12-30,U001,1381319.72,0.0,1381319.72,1381319.72,1381319.72,,,0.0,0.0,0.0,,,1.0,6,12,1
2018-12-31,U001,1466074.45,0.0,2847394.17,1423697.085,1423697.085,59930.64432063491,59930.64432063491,0.0,0.0,0.0,,,1.0,0,12,0
2019-01-01,U001,1001874.26,0.0,3849268.4299999997,1283089.4766666666,1283089.4766666666,247198.98791864704,247198.98791864704,0.0,0.0,0.0,,,1.0,1,1,0
2019-01-02,U001,2788689.23,0.0,6637957.66,1659489.415,1659489.415,779388.1451035918,779388.1451035918,0.0,0.0,0.0,,,1.0,2,1,0
2019-01-03,U001,2532054.12,0.0,9170011.780000001,1834002.3560000001,1834002.3560000001,779652.6428021395,779652.6428021395,0.0,0.0,0.0,,,1.0,3,1,0
2019-01-04,U001,2894709.46,0.0,12064721.240000002,2010786.8733333333,2010786.8733333333,820855.156623485,820855.156623485,0.0,0.0,0.0,,,1.0000000000000002,4,1,0
2019-01-05,U001,1503492.25,0.0,13568213.490000002,1938316.2128571428,1938316.2128571428,773476.9765190982,773476.9765190982,0.0,0.0,0.0,,,1.0000000000000002,5,1,1
2019-01-06,U001,868045.41,0.0,14436258.900000002,1864991.3114285714,1804532.3625,855102.1877956557,809928.9600018869,0.0,0.0,0.0,13054939.180000002,,1.0000000000000002,6,1,1
2019-01-07,U001,2687277.63,21828.54,17101707.990000002,2039448.9085714284,1902615.1700000002,884229.4634698634,812753.9230063792,3118.362857142857,2425.3933333333334,0.001274768209344895,14254313.820000002,,0.9987252317906552,0,1,0
2019-01-08,U001,2230848.61,88394.08,19244162.52,2215016.672857143,1935438.514,756689.5972770747,773269.7521936661,15746.08857142857,11022.261999999999,0.005694968825033932,15394894.09,,0.994305031174966,1,1,0
